"","superid","Division","adjusted_id","Line","Station_Name","Station_Latitude","Station_Longitude"
"449","huntspointav6","IRT","huntspointav6","Pelham","HuntsPointAv",40.820948,-73.890549
"450","huntspointave6",NA,"huntspointav6","","HuntsPointAv",40.820948,-73.890549
"451","intervaleav25","IRT","intervaleav25","White Plains Road","IntervaleAv",40.822181,-73.896736
"452","207a","IND","207a","8 Avenue","Inwood-207thSt",40.868072,-73.919899
"453","jacksonav25","IRT","jacksonav25","White Plains Road","JacksonAv",40.81649,-73.907807
"454","jacksonave25",NA,"jacksonav25","","JacksonAv",40.81649,-73.907807
"455","jacksonheights-rooseveltaveefmr7","IND","jacksonheights-rooseveltaveefmr7","Queens Boulevard","JacksonHeights-RooseveltAve",40.746644,-73.891338
"456","jamaicacenterejz",NA,"jamaicacenterejz",NA,"jamaica center",40.70215903,-73.80086839
"457","179f","IND","179f","Queens Boulevard","Jamaica-179thSt",40.712646,-73.783817
"458","jamaica-vanwycke","IND","jamaica-vanwycke","Archer Av","Jamaica-VanWyck",40.702566,-73.816859
"459","jamaica-vanwyce",NA,"jamaica-vanwycke","","Jamaica-VanWyck",40.702566,-73.816859
"460","jayst-boroughhallacfr","IND","jayst-boroughhallacfr","Fulton","JaySt-BoroughHall",40.692338,-73.987342
"461","jayst-metrotecacf",NA,"jayst-boroughhallacfr","","JaySt-BoroughHall",40.692338,-73.987342
"462","jayst-metrotecr",NA,"jayst-boroughhallacfr","","JaySt-BoroughHall",40.692338,-73.987342
"463","jeffersonstl","BMT","jeffersonstl","Canarsie","JeffersonSt",40.706607,-73.922913
"464","junctionblvd7","IRT","junctionblvd7","Flushing","JunctionBlvd",40.749145,-73.869527
"465","broadway-enyacjlz",NA,"junctionblvd7","","JunctionBlvd",40.749145,-73.869527
"466","juniusst3","IRT","juniusst3","New Lots","JuniusSt",40.663515,-73.902447
"467","kewgardens-unionturnpikeef","IND","kewgardens-unionturnpikeef","Queens Boulevard","KewGardens-UnionTurnpike",40.714441,-73.831008
"468","uniontpk-kewgef",NA,"kewgardens-unionturnpikeef","","KewGardens-UnionTurnpike",40.714441,-73.831008
"469","kingsbridgerdbd","IND","kingsbridgerdbd","Concourse","KingsbridgeRd",40.866978,-73.893509
"470","kingsbridgerd4","IRT","kingsbridgerd4","Jerome","KingsbridgeRd",40.86776,-73.897174
"471","kingshighwayf","IND","kingshighwayf","Culver","KingsHighway",40.603217,-73.972361
"472","kingshighwayn","BMT","kingshighwayn","Sea Beach","KingsHighway",40.603923,-73.980353
"473","kingshighwaybq","BMT","kingshighwaybq","Brighton","KingsHighway",40.60867,-73.957734
"474","kingstonav3","IRT","kingstonav3","Eastern Parkway","KingstonAv",40.669399,-73.942161
"475","kingstonave3",NA,"kingstonav3","","KingstonAv",40.669399,-73.942161
"476","kingston-throopac","IND","kingston-throopac","Fulton","Kingston-Throop",40.679921,-73.940858
"477","kingston-throopc",NA,"kingston-throopac","","Kingston-Throop",40.679921,-73.940858
"478","knickerbockeravm","BMT","knickerbockeravm","Myrtle","KnickerbockerAv",40.698664,-73.919711
"479","knickerbockerm",NA,"knickerbockeravm","","KnickerbockerAv",40.698664,-73.919711
"480","kosciuskostj","BMT","kosciuskostj","Broadway Jamaica","KosciuskoSt",40.693342,-73.928814
"481","kosciuszkostj",NA,"kosciuskostj","","KosciuskoSt",40.693342,-73.928814
"482","lafayetteavc","IND","lafayetteavc","Fulton","LafayetteAv",40.686113,-73.973946
"483","lafayetteavec",NA,"lafayetteavc","","LafayetteAv",40.686113,-73.973946
"484","lawrencestacfr","BMT","lawrencestacfr","Broadway","LawrenceSt",40.69218,-73.985942
"485","leffertsblvda","IND","leffertsblvda","Liberty","LeffertsBlvd",40.685951,-73.825798
"486","lexingtonavnqr456","BMT","lexingtonavnqr456","Broadway","LexingtonAv",40.76266,-73.967258
"487","lexingtonavf","IND","lexingtonavf","63rd Street","LexingtonAv",40.764627,-73.96611
"488","lexingtonavef",NA,"lexingtonavf","","LexingtonAv",40.764627,-73.96611
"489","lexingtonavenqr456",NA,"lexingtonavf","","LexingtonAv",40.764627,-73.96611
"490","53em6","IND","53em6","Queens Boulevard","LexingtonAv-53rdSt",40.757552,-73.969055
"491","516",NA,"53em6","","LexingtonAv-53rdSt",40.757552,-73.969055
"492","libertyavac","IND","libertyavac","Fulton","LibertyAv",40.674542,-73.896548
"493","libertyavec",NA,"libertyavac","","LibertyAv",40.674542,-73.896548
"494","527","IRT","527","Flushing","LincolnAv-52ndSt",40.744149,-73.912549
"496","livoniaavl","BMT","livoniaavl","Canarsie","LivoniaAv",40.664038,-73.900571
"497","livoniaavel",NA,"livoniaavl","","LivoniaAv",40.664038,-73.900571
"498","longislandcity-courtsquareg","IND","longislandcity-courtsquareg","Crosstown","LongIslandCity-CourtSquare",40.746554,-73.943832
"499","longwoodav6","IRT","longwoodav6","Pelham","LongwoodAv",40.816104,-73.896435
"500","longwoodave6",NA,"longwoodav6","","LongwoodAv",40.816104,-73.896435
"501","lorimerstjm","BMT","lorimerstjm","Broadway Jamaica","LorimerSt",40.703869,-73.947408
"502","lorimerstgl","BMT","lorimerstgl","Canarsie","LorimerSt",40.714063,-73.950275
"503","lorimerstlg",NA,"lorimerstgl","","LorimerSt",40.714063,-73.950275
"504","407","IRT","407","Flushing","LowerySt-40thSt",40.743781,-73.924016
"505","2251","IRT","2251","Broadway-7th Ave","MarbleHill-225thSt",40.874561,-73.909831
"506","marcyavjmz","BMT","marcyavjmz","Broadway Jamaica","MarcyAv",40.708359,-73.957757
"507","marcyavejmz",NA,"marcyavjmz","","MarcyAv",40.708359,-73.957757
"508","metropolitanavm","BMT","metropolitanavm","Myrtle","MetropolitanAv",40.711396,-73.889601
"509","metropolitanavgl","IND","metropolitanavgl","Crosstown","MetropolitanAv",40.712792,-73.951418
"510","mets-willetspoint7","IRT","mets-willetspoint7","Flushing","Mets-WilletsPoint",40.754622,-73.845625
"511","mets-willetspt7",NA,"mets-willetspoint7","","Mets-WilletsPoint",40.754622,-73.845625
"512","middletownrd6","IRT","middletownrd6","Pelham","MiddletownRd",40.843863,-73.836322
"513","middletownroad6",NA,"middletownrd6","","MiddletownRd",40.843863,-73.836322
"514","montroseavl","BMT","montroseavl","Canarsie","MontroseAv",40.707739,-73.93985
"515","montroseavel",NA,"montroseavl","","MontroseAv",40.707739,-73.93985
"516","morganavl","BMT","morganavl","Canarsie","MorganAv",40.706152,-73.933147
"517","morganavel",NA,"morganavl","","MorganAv",40.706152,-73.933147
"518","morrisonav-soundviewav6","IRT","morrisonav-soundviewav6","Pelham","MorrisonAv-SoundviewAv",40.829521,-73.874516
"519","morrisonave6",NA,"morrisonav-soundviewav6","","MorrisonAv-SoundviewAv",40.829521,-73.874516
"520","morrispark5","IRT","morrispark5","Dyre Av","MorrisPark",40.854364,-73.860495
"521","mosholuparkway4","IRT","mosholuparkway4","Jerome","MosholuParkway",40.87975,-73.884655
"522","rockawaypkyl",NA,"rockawaypkyl",NA,"MTA Canarsie/Rockaway Pkwy. L",40.64685293,-73.90157885
"523","mtedenav4","IRT","mtedenav4","Jerome","MtEdenAv",40.844434,-73.914685
"524","mtedenave4",NA,"mtedenav4","","MtEdenAv",40.844434,-73.914685
"525","myrtleavjmz","BMT","myrtleavjmz","Broadway Jamaica","MyrtleAv",40.697207,-73.935657
"526","myrtleavejmz",NA,"myrtleavjmz","","MyrtleAv",40.697207,-73.935657
"527","myrtleavlm","BMT","myrtleavlm","Canarsie","MyrtleAv",40.699814,-73.911586
"528","myrtleavelm",NA,"myrtleavlm","","MyrtleAv",40.699814,-73.911586
"529","myrtle-willoughbyavsg","IND","myrtle-willoughbyavsg","Crosstown","Myrtle-WilloughbyAvs",40.694568,-73.949046
"530","myrtle-willoughg",NA,"myrtle-willoughbyavsg","","Myrtle-WilloughbyAvs",40.694568,-73.949046
"531","4dfgmnr",NA,NA,"",NA,NA,NA
"532","91",NA,NA,"",NA,NA,NA
"533","crownhts-utica34",NA,"",NA,NA,NA,NA
"534","eldertslanejz",NA,"",NA,NA,NA,NA
"535","harrison1",NA,"",NA,NA,NA,NA
"536","neckroadbq",NA,"",NA,NA,NA,NA
"537","princest-b'waynr",NA,"",NA,NA,NA,NA
"538","rit-manhattanr",NA,"",NA,NA,NA,NA
"539","rit-rooseveltr",NA,"",NA,NA,NA,NA
"540","st.george1",NA,"",NA,NA,NA,NA
"541","tompkinsville1",NA,"",NA,NA,NA,NA
"542","vanwyckblvdef",NA,"",NA,NA,NA,NA
"543","nassauavg","IND","nassauavg","Crosstown","NassauAv",40.724635,-73.951277
"544","neckrdbq","BMT","neckrdbq","Brighton","NeckRd",40.595246,-73.955161
"545","neptuneav-vansiclenf","IND","neptuneav-vansiclenf","Culver","NeptuneAv-VanSiclen",40.581011,-73.974574
"546","neptuneavef",NA,"neptuneav-vansiclenf","","NeptuneAv-VanSiclen",40.581011,-73.974574
"547","nereidave25",NA,"nereidave25",NA,"nereid ave",40.8984304,-73.85434628
"548","nevinsst2345","IRT","nevinsst2345","Eastern Parkway","NevinsSt",40.688246,-73.980492
"549","newkirkavbq","BMT","newkirkavbq","Brighton","NewkirkAv",40.635082,-73.962793
"550","newkirkplazabq",NA,"newkirkavbq","","NewkirkAv",40.635082,-73.962793
"551","newkirkav25","IRT","newkirkav25","Nostrand","NewkirkAv",40.639967,-73.948411
"552","newkirkave25",NA,"newkirkav25","","NewkirkAv",40.639967,-73.948411
"553","newlotsavl","BMT","newlotsavl","Canarsie","NewLotsAv",40.658733,-73.899232
"554","newlotsavel",NA,"newlotsavl","","NewLotsAv",40.658733,-73.899232
"555","newlotsav3","IRT","newlotsav3","New Lots","NewLotsAv",40.666235,-73.884079
"556","newlotsave3",NA,"newlotsav3","","NewLotsAv",40.666235,-73.884079
"557","newutrechtavdn","BMT","newutrechtavdn","Sea Beach","NewUtrechtAv",40.624842,-73.996353
"558","newutrechtavend",NA,"newutrechtavdn","","NewUtrechtAv",40.624842,-73.996353
"559","northernblvdmr","IND","northernblvdmr","Queens Boulevard","NorthernBlvd",40.752885,-73.906006
"560","205d","IND","205d","Concourse","Norwood-205thSt",40.874811,-73.878855
"561","norwoodavjz","BMT","norwoodavjz","Broadway Jamaica","NorwoodAv",40.68141,-73.880039
"562","norwoodavejz",NA,"norwoodavjz","","NorwoodAv",40.68141,-73.880039
"563","nostrandav3","IRT","nostrandav3","Eastern Parkway","NostrandAv",40.669847,-73.950466
"564","nostrandave3",NA,"nostrandav3","","NostrandAv",40.669847,-73.950466
"565","nostrandavac","IND","nostrandavac","Fulton","NostrandAv",40.680438,-73.950426
"566","nostrandaveac",NA,"nostrandavac","","NostrandAv",40.680438,-73.950426
"567","oceanparkwayq","BMT","oceanparkwayq","Brighton","OceanParkway",40.576312,-73.968501
"568","pacificstbqdnr2345","BMT","pacificstbqdnr2345","4 Avenue","PacificSt",40.683666,-73.97881
"569","1776","IRT","1776","Pelham","Parkchester-East177thSt",40.833226,-73.860816
"570","parkplacefs","BMT","parkplacefs","Franklin","ParkPlace",40.674772,-73.957624
"571","parkplaces",NA,"parkplacefs","","ParkPlace",40.674772,-73.957624
"572","parkplaceace123","IRT","parkplaceace123","Clark","ParkPlace",40.713051,-74.008811
"573","parkplace23ace",NA,"parkplaceace123","","ParkPlace",40.713051,-74.008811
"574","parksideavbq","BMT","parksideavbq","Brighton","ParksideAv",40.655292,-73.961495
"575","parksideavebq",NA,"parksideavbq","","ParksideAv",40.655292,-73.961495
"576","parsonsblvdf","IND","parsonsblvdf","Queens Boulevard","ParsonsBlvd",40.707564,-73.803326
"577","parsonsblvd-archerav-jamaicacenterejz","IND","parsonsblvd-archerav-jamaicacenterejz","Archer Av","ParsonsBlvd-ArcherAv-JamaicaCenter",40.702147,-73.801109
"578","thirtyst1",NA,"281","","path",40.747215,-73.993365
"579","exchangeplace1",NA,"",NA,"path",NA,NA
"580","grovestreet1",NA,"",NA,"path",NA,NA
"581","9dfgmnr",NA,NA,"","path/metro rail",NA,NA
"582","city/bus1",NA,"",NA,"path/metro rail",NA,NA
"583","journalsquare1",NA,"",NA,"path/metro rail",NA,NA
"584","lackawanna1",NA,"",NA,"path/metro rail",NA,NA
"585","newarkbmbw1",NA,"",NA,"path/metro rail",NA,NA
"586","newarkc1",NA,"",NA,"path/metro rail",NA,NA
"587","newarkhmhe1",NA,"",NA,"path/metro rail",NA,NA
"588","newarkhwbmebe1",NA,"",NA,"path/metro rail",NA,NA
"589","pavonia/newport1",NA,"",NA,"path/metro rail",NA,NA
"590","thirtythirdst1",NA,"",NA,"path/metro rail",NA,NA
"591","twentythirdst1",NA,"",NA,"path/metro rail",NA,NA
"592","pelhambaypark6","IRT","pelhambaypark6","Pelham","PelhamBayPark",40.852462,-73.828121
"593","pelhamparkway25","IRT","pelhamparkway25","White Plains Road","PelhamParkway",40.857192,-73.867615
"594","pelhamparkway5","IRT","pelhamparkway5","Dyre Av","PelhamParkway",40.858985,-73.855359
"595","pennsylvaniaav3","IRT","pennsylvaniaav3","New Lots","PennsylvaniaAv",40.664635,-73.894895
"596","presidentst25","IRT","presidentst25","Nostrand","PresidentSt",40.667883,-73.950683
"597","princestnr","BMT","princestnr","Broadway","PrinceSt",40.724329,-73.997702
"598","prospectavr","BMT","prospectavr","4 Avenue","ProspectAv",40.665414,-73.992872
"599","prospectaver",NA,"prospectavr","","ProspectAv",40.665414,-73.992872
"600","prospectav25","IRT","prospectav25","White Plains Road","ProspectAv",40.819585,-73.90177
"601","prospectave25",NA,"prospectav25","","ProspectAv",40.819585,-73.90177
"602","prospectparkbqfs","BMT","prospectparkbqfs","Brighton","ProspectPark",40.661614,-73.962246
"603","prospectparkbqs",NA,"prospectparkbqfs","","ProspectPark",40.661614,-73.962246
"604","15f","IND","15f","6 Avenue","ProspectPark-15St",40.660365,-73.979493
"605","15fg",NA,"15f",NA,"ProspectPark-15St",40.660365,-73.979493
"606","queensboroplazanq7","IRT","queensboroplazanq7","Flushing","QueensboroPlaza",40.750582,-73.940202
"607","queensboroplz7nq",NA,"queensboroplazanq7","","QueensboroPlaza",40.750582,-73.940202
"608","queensplazaemr","IND","queensplazaemr","Queens Boulevard","QueensPlaza",40.748973,-73.937243
"609","ralphavac","IND","ralphavac","Fulton","RalphAv",40.678822,-73.920786
"610","ralphavec",NA,"ralphavac","","RalphAv",40.678822,-73.920786
"611","337","IRT","337","Flushing","RawsonSt-33rdSt",40.744587,-73.930997
"612","rectorstr","BMT","rectorstr","Broadway","RectorSt",40.70722,-74.013342
"613","rectorst1","IRT","rectorst1","Broadway-7th Ave","RectorSt",40.707513,-74.013783
"614","rockawayav3","IRT","rockawayav3","New Lots","RockawayAv",40.662549,-73.908946
"615","rockawayave3",NA,"rockawayav3","","RockawayAv",40.662549,-73.908946
"616","rockawayavac","IND","rockawayavac","Fulton","RockawayAv",40.67834,-73.911946
"617","rockawayavec",NA,"rockawayavac","","RockawayAv",40.67834,-73.911946
"618","rockawayblvda","IND","rockawayblvda","Liberty","RockawayBlvd",40.680429,-73.843853
"619","116h","IND","116h","Rockaway","RockawayPark-Beach116th",40.580903,-73.835592
"620","116as",NA,"116h",NA,"RockawayPark-Beach116th",40.580903,-73.835592
"621","rooseveltislandf","IND","rooseveltislandf","63rd Street","RooseveltIsland",40.759145,-73.95326
"622","rooseveltisf",NA,"rooseveltislandf","","RooseveltIsland",40.759145,-73.95326
"623","saratogaav3","IRT","saratogaav3","New Lots","SaratogaAv",40.661453,-73.916327
"624","saratogaave3",NA,"saratogaav3","","SaratogaAv",40.661453,-73.916327
"625","senecaavm","BMT","senecaavm","Myrtle","SenecaAv",40.702762,-73.90774
"626","senecaavem",NA,"senecaavm","","SenecaAv",40.702762,-73.90774
"627","sheepsheadbaybq","BMT","sheepsheadbaybq","Brighton","SheepsheadBay",40.586896,-73.954155
"628","shepherdavac","IND","shepherdavac","Fulton","ShepherdAv",40.67413,-73.88075
"629","shepherdavec",NA,"shepherdavac","","ShepherdAv",40.67413,-73.88075
"630","simpsonst25","IRT","simpsonst25","White Plains Road","SimpsonSt",40.824073,-73.893064
"631","southferryr1","IRT","southferryr1","Broadway-7th Ave","SouthFerry",40.702068,-74.013664
"632","southferry1r",NA,"southferryr1","","SouthFerry",40.702068,-74.013664
"633","springst6","IRT","springst6","Lexington","SpringSt",40.722301,-73.997141
"634","springstce","IND","springstce","8 Avenue","SpringSt",40.726227,-74.003739
"635","steinwaystmr","IND","steinwaystmr","Queens Boulevard","SteinwaySt",40.756879,-73.92074
"636","sterlingst25","IRT","sterlingst25","Nostrand","SterlingSt",40.662742,-73.95085
"637","stillwellavdfnq","BMT","stillwellavdfnq","Coney Island","StillwellAv",40.577422,-73.981233
"638","stillwellavedfnq",NA,"stillwellavdfnq","","StillwellAv",40.577422,-73.981233
"639","stlawrenceav6","IRT","stlawrenceav6","Pelham","StLawrenceAv",40.831509,-73.867618
"640","stlawrenceave6",NA,"stlawrenceav6","","StLawrenceAv",40.831509,-73.867618
"641","sutphinblvdf","IND","sutphinblvdf","Queens Boulevard","SutphinBlvd",40.70546,-73.810708
"642","sutphinblvd-archerav-jfkejz","IND","sutphinblvd-archerav-jfkejz","Archer Av","SutphinBlvd-ArcherAv-JFK",40.700486,-73.807969
"643","1e",NA,"sutphinblvd-archerav-jfkejz",NA,"SutphinBlvd-ArcherAv-JFK",40.700486,-73.807969
"644","sutphinblvdejz",NA,"sutphinblvd-archerav-jfkejz","","SutphinBlvd-ArcherAv-JFK",40.700486,-73.807969
"645","sutterav3","IRT","sutterav3","New Lots","SutterAv",40.664717,-73.92261
"646","sutterave3",NA,"sutterav3","","SutterAv",40.664717,-73.92261
"647","sutteravl","BMT","sutteravl","Canarsie","SutterAv",40.669367,-73.901975
"648","sutteravel",NA,"sutteravl","","SutterAv",40.669367,-73.901975
"649","timessquareacenqrs1237","IRT","timessquareacenqrs1237","Broadway-7th Ave","TimesSquare",40.75529,-73.987495
"650","timessquareacenqrgs1237","IRT","timessquareacenqrgs1237","42nd St Shuttle","TimesSquare",40.755983,-73.986229
"652","421237acenqrs",NA,"42acenqrs1237","","TimesSquare-42ndSt",40.754672,-73.986754
"653","42acengrs1237",NA,"42acenqrs1237","","TimesSquare-42ndSt",40.754672,-73.986754
"654","tremontavbd","IND","tremontavbd","Concourse","TremontAv",40.85041,-73.905227
"655","tremontavebd",NA,"tremontavbd","","TremontAv",40.85041,-73.905227
"656","etremontave25",NA,"tremontavbd","","TremontAv",40.85041,-73.905227
"657","unionsquarelnqr456","BMT","unionsquarelnqr456","Canarsie","UnionSquare",40.734789,-73.99073
"658","unionstr","BMT","unionstr","4 Avenue","UnionSt",40.677316,-73.98311
"659","uticaav34","IRT","uticaav34","Eastern Parkway","UticaAv",40.668897,-73.932942
"660","uticaaveac",NA,"uticaav34","","UticaAv",40.668897,-73.932942
"661","uticaavac","IND","uticaavac","Fulton","UticaAv",40.679364,-73.930729
"662","2421","IRT","2421","Broadway-7th Ave","VanCortlandtPark-242ndSt",40.889248,-73.898583
"663","2412",NA,"2421",NA,"VanCortlandtPark-242ndSt",40.889248,-73.898583
"664","vansiclenav3","IRT","vansiclenav3","New Lots","VanSiclenAv",40.665449,-73.889395
"665","vansiclenave3",NA,"vansiclenav3","","VanSiclenAv",40.665449,-73.889395
"666","vansiclenavac","IND","vansiclenavac","Fulton","VanSiclenAv",40.67271,-73.890358
"667","vansiclenavec",NA,"vansiclenavac","","VanSiclenAv",40.67271,-73.890358
"668","vansiclenavjz","BMT","vansiclenavjz","Broadway Jamaica","VanSiclenAv",40.678024,-73.891688
"669","vansiclenavejz",NA,"vansiclenavjz","","VanSiclenAv",40.678024,-73.891688
"670","vernonblvd-jacksonav7","IRT","vernonblvd-jacksonav7","Flushing","VernonBlvd-JacksonAv",40.742626,-73.953581
"671","vernon/jackson7",NA,"vernonblvd-jacksonav7","","VernonBlvd-JacksonAv",40.742626,-73.953581
"672","24125","IRT","24125","White Plains Road","Wakefield-241stSt",40.903125,-73.85062
"673","wallst23","IRT","wallst23","Clark","WallSt",40.706821,-74.0091
"674","wallst45","IRT","wallst45","Lexington","WallSt",40.707557,-74.011862
"675","4abcdefm","IND","4abcdefm","8 Avenue","West4thSt",40.732338,-74.000495
"676","8fq","BMT","8fq","Coney Island","West8thSt",40.576127,-73.975939
"677","westchestersquare-easttremontav6","IRT","westchestersquare-easttremontav6","Pelham","WestchesterSquare-EastTremontAv",40.839892,-73.842952
"678","westchestersq6",NA,"westchestersquare-easttremontav6","","WestchesterSquare-EastTremontAv",40.839892,-73.842952
"679","whitehallstr1","BMT","whitehallstr1","Broadway","WhitehallSt",40.703087,-74.012994
"680","whitlockav6","IRT","whitlockav6","Pelham","WhitlockAv",40.826525,-73.886283
"681","whitlockave6",NA,"whitlockav6","","WhitlockAv",40.826525,-73.886283
"682","wilsonavl","BMT","wilsonavl","Canarsie","WilsonAv",40.688764,-73.904046
"683","wilsonavel",NA,"wilsonavl","","WilsonAv",40.688764,-73.904046
"684","winthropst25","IRT","winthropst25","Nostrand","WinthropSt",40.656652,-73.9502
"685","woodhavenblvdjz","BMT","woodhavenblvdjz","Broadway Jamaica","WoodhavenBlvd",40.693879,-73.851576
"686","forestparkwayj",NA,"woodhavenblvdjz","","WoodhavenBlvd",40.693879,-73.851576
"687","woodhavenblvdmr","IND","woodhavenblvdmr","Queens Boulevard","WoodhavenBlvd",40.733106,-73.869229
"688","woodlawn4","IRT","woodlawn4","Jerome","Woodlawn",40.886037,-73.878751
"689","woodlawnroad4",NA,"woodlawn4","","Woodlawn",40.886037,-73.878751
"690","617","IRT","617","Flushing","WoodsideAv-61stSt",40.74563,-73.902984
"691","worldtradecenterace23","IND","worldtradecenterace23","8 Avenue","WorldTradeCenter",40.712582,-74.009781
"692","worldtradectrace23",NA,"worldtradecenterace23","","WorldTradeCenter",40.712582,-74.009781
"693","21",NA,"worldtradecenterace23","","WorldTradeCenter",40.712582,-74.009781
"694","pathwtc1",NA,"worldtradecenterace23",NA,"WorldTradeCenter",40.712582,-74.009781
"695","161bd4","IND","161bd4","Concourse","YankeeStadium-161stSt",40.827905,-73.925651
"696","1614bd",NA,"161bd4",NA,"YankeeStadium-161stSt",40.827905,-73.925651
"697","yorkstf","IND","yorkstf","6 Avenue","YorkSt",40.699743,-73.986885
"698","zeregaav6","IRT","zeregaav6","Pelham","ZeregaAv",40.836488,-73.847036
"699","16325",NA,"","","",NA,NA
